productId,skuId,name,brand,top,category,bracket,price
1002928576,1002794399,Mochila Pelúcia - Patrulha Canina - Skye - Candide,Candide,LIVROS E PAPELARIA,MOCHILAS,0-2,109.99
100154894,100154823,LEGO Classic - Maleta Criativa - 10713,LEGO,BRINQUEDOS,BLOCOS DE MONTAR,3-5,125.99
1003269226,1003156001,Boneca Musical - Dos Rosa - Emilly Vick - Novabrink,Novabrink,BONECOS E BONECAS,BONECAS,3-5,198.99
1003170601,1003047706,Brinquedo Interativo - Minimi - Centopeia Pula Pula - Modelos Sortidos - Jxp Brink,SEM LICENÇA,BABY,BRINQUEDOS PARA BEBES,0-2,30.99
1002864906,1002731188,Pelúcia - Série Bluey - Modelos Sortidos - Candide,Candide,BRINQUEDOS,PELUCIAS,3-5,98.99
100001810,100001810,Carrinho Hot Wheels - Veículos Básicos - Sortido - Mattel,Mattel,BRINQUEDOS,VEICULOS DE BRINQUEDO,unknown,17.99
1001776851,100184971,Boneco Articulado - Disney - Marvel - Homem Aranha - Titan Hero Series - Hasbro,Hasbro,BONECOS E BONECAS,BONECOS,0-2,99.99
1003224873,1003109693,Jogo De Cartas - Pokémon - Mega Kangaskhan Ex -  Copag,Copag,JOGOS,JOGOS DE CARTAS,6-8,169.99
100103667,100103329,Jogo Eu Sou? - Novas Cartas e App - Estrela,Estrela,JOGOS,JOGOS DE TABULEIRO,6-8,87.99
1003249340,1003133630,Boneco - Funko Pop - Guerreiras Do K-Pop - Rumi - Candide,Candide,COLECIONAVEIS,FUNKO POP,3-5,149.99
1003188593,1003067242,EXCLUSIVO: Chaveiro Miniatura Colecionável - Bone Shaker - Hot Wheels,Hot Wheels,COLECIONAVEIS,ACTION FIGURE,3-5,19.91
1003168982,1003045917,Blocos De Montar - Mattel - Corvette Grand Sport,Mattel,COLECIONAVEIS,CARRINHOS COLECIONAVEIS,9-12,329.99
1002832203,1002698898,Mini Veículo Elétrico - Hello Kitty - 6V - Lambreta - Bandeirante - Rosa,Bandeirante,BABY,MINI VEICULOS,0-2,999.99
1002922596,1002788614,Mordedor - Sensimals - Modelos Sortidos - Fisher-Price,Fisher Price,BABY,MORDEDORES,0-2,40.99
1002251282,1002128253,Massa de Modelar - Play-Doh - Mini Sorveteria Divertida com 2 Cores de Massinha - Hasbro,Hasbro,BRINQUEDOS,ARTES,3-5,49.99
1003173952,1003051355,Conjunto De Acessórios - Barbie - Pic Nic No Parque - Elka,Elka,BRINQUEDOS,BRINCADEIRA DE CASINHA,0-2,80.99
1002973080,1002838608,Brincando de Ser - Caixa Registradora Unique - Barbie - Fun,Fun,BRINQUEDOS,FAZ DE CONTA,3-5,221.99
1002900894,1002767370,Conjunto Musical - Disney - Frozen - Boombox Karaokê - Candide,Candide,BRINQUEDOS,INSTRUMENTOS MUSICAIS,3-5,149.99
1003125274,1002999968,Beyblade - Conjunto Inicial - Modelos Sortidos - Hasbro,Hasbro,BRINQUEDOS,LANCADORES,6-8,99.95
1003254489,1003139611,Quebra-Cabeça - Panorama - Guerreiras Do K-Pop - 350 Peças - Grow,Grow,BRINQUEDOS,QUEBRA-CABECAS,6-8,95.99
1002866943,1002733220,Laptop Infantil - C/ Tela Incorp - Sonic - Minigame - Candide,Candide,BRINQUEDOS,BRINQUEDOS ELETRONICOS,unknown,79.91
1002299690,1002175945,Conjunto - Cabelos Customizados - FanFun,FanFun,BRINQUEDOS,BRINQUEDOS DE BELEZA,unknown,85.99
1002515283,1002388260,Boneca e Acessórios - Barbie - Passeio De Bicicleta - 18cm - Mattel,Mattel,BONECOS E BONECAS,ACESSORIOS PARA BONECAS,unknown,178.99
100166504,100166885,Conjunto Sala de Jantar Clássica - 15 Peças - Sylvanian Families - Epoch,Epoch,BONECOS E BONECAS,CASA DE BONECA,unknown,169.99
1003117849,1002991579,Jogo de Raciocínio Lógico - Jogo Senha - Grow,Grow,JOGOS,JOGOS DE ACAO,6-8,51.99
1002856600,1002722731,Jogo Clássico - Stop! - 2 a 4 Jogadores - Nig Brinquedos,Nig Brinquedos,JOGOS,JOGOS CLASSICOS,6-8,52.99
1003251290,1003135703,Jogo Educativo - Cartas Geniais - Bandeiras do Mundo - Toyster,Toyster,JOGOS,JOGOS EDUCATIVOS,6-8,26.99
1003297785,1003191642,Kit Caminhonete Monta Desmonta Infantil Plástico Carrinho,Futuro Kids,COLECIONAVEIS,MONTAGEM E MODELISMO,unknown,45.68
1003022266,1002888229,Fantasia Infantil - Moana 2 - Tam P - Princesas Disney - Novabrink,Novabrink,FANTASIAS,FANTASIA INFANTIL,0-2,149.91
1001862055,100270916,Sabre De Luz - Disney - Star Wars - Black Series - Force FX Elite - Conde Dookan - Hasbro,Hasbro,FANTASIAS,SABRE DE LUZ,unknown,499.91
1003277227,1003164314,Óculos De Sol - Disney - Princesas - Toyng,Toyng,FANTASIAS,MASCARAS,3-5,49.99
1003174026,1003051453,EXCLUSIVO - Bicicleta - Aro 14 - Barbie - Bandeirante,Bandeirante,ESPORTES,BICICLETAS,0-2,799.99
1001957525,100354033,Skate Com Acessórios - Barbie - Modelos Sortidos - Fun,Fun,ESPORTES,SKATES,6-8,353.99
1002967659,1002833280,Patinete Com Led - Disney -  Stitch - Azul - Bbr Toys,SEM LICENÇA,ESPORTES,PATINETES,0-2,271.99
1002543264,1002415232,Patins - Hot Wheels - Ajustável - Tamanho 33 a 36 - Fun - Azul,Fun,ESPORTES,PATINS,3-5,348.99
1003299857,1003193757,Bola De Vinil Lisa Prata - 14 Polegadas - 10 Unidades,Outras,ESPORTES,BOLAS,unknown,79.9
1001813876,100224362,Brinquedo Clássico - Pogobol - Amarelo e Laranja - Estrela,Estrela,ESPORTES,BRINCADEIRAS AO AR LIVRE,6-8,249.99
1003301036,1003194986,Bote Inflável Excursion 4 Pessoas 315cm Remos Bomba até 500kg Intex,Intex,ESPORTES,PRAIA E PISCINA,unknown,1399.99
1002645723,1002515425,Jogo PS5 - Playstation - Resident Evil Village - Gold Edition - Azul - Sony,Sony,TECNOLOGIA,JOGOS DE VIDEO-GAME,unknown,124.91
1003300115,1003194015,Controle Gamepad Bluetooth AL-G7 K Android IOS PC Cor Preto,Altomex,TECNOLOGIA,CONTROLES,unknown,129.99
1003268200,1003154975,Livro Magnético Infantil - Histórias Magnéticas - Pets - Janod,Maped,LIVROS E PAPELARIA,LIVROS,0-2,89.99
1003298575,1003192439,TOY STORY 5 - Álbum Capa Cartão + 36 Envelopes,PANINI,LIVROS E PAPELARIA,ALBUM DE FIGURINHAS,unknown,179.91
1003177368,1003054900,Mochila - Pokemon - Pikachu - Bbr Toys,BBR TOYS,LIVROS E PAPELARIA,MOCHILAS,0-2,272.99
